experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,point_id,cell_tag,instrumentation,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,overlap,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_superseded,relay_drop_replica_cap,relay_drop_low_utility,relay_drop_backlog_cap,relay_drop_global_topk,relay_max_queue,relay_ewma_dq_s
20260831_b03_motivation_alphalow_ideal_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,alphalow,rep0_alphalow_ideal_b03alpha,read_only_counterfactual_logging,64,104,0,2,20260723,2a0bdcb8a462e2703ade55aca1ad097cf9de6afdc9d3b61368550a9c840e1876,0.2,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphalow:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,83.08795442408882,128,1.5405361810531022,1281.726102636181,0.3229166666666667,42,11.767900750750588,9.454949855804443,27.975995302200317,0.0,0.0,0.0,0.0,77,77,0.0,1.0,96288.0,0,0.0,25.666666666666668,1774.0200669375,1737.27485,3134.558488,2021.494925,3768.71927,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_alphalow_agg_full@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,alphalow,rep0_alphalow_agg_full@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,0,2,20260723,2a0bdcb8a462e2703ade55aca1ad097cf9de6afdc9d3b61368550a9c840e1876,0.2,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphalow:agg_full@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,92.35105845006183,128,1.3860155167492214,1153.1649099353522,0.14583333333333334,42,42.415577082406905,30.476373434066772,84.43702387809753,0.21875,0.21875,0.0,0.0,77,65,0.0048828125,1.0,65008.0,0,0.0,10.333333333333334,1922.4022096979165,1762.487889,3768.893001,2083.703194,4408.424343,0,0.0,0.8,1602,False,0,False,16,128,0,0,128,96,13312,32,15.714729552467665,17.72147822380066,25.933964490890503,28.537956953048706,0.0,0,2394,2598,0,759554,3360,3360,118,0,2,8,0,0,3,24.215
20260831_b03_motivation_alphalow_agg_static@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,alphalow,rep0_alphalow_agg_static@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,0,2,20260723,2a0bdcb8a462e2703ade55aca1ad097cf9de6afdc9d3b61368550a9c840e1876,0.2,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphalow:agg_static@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,82.8667791839689,128,1.5446479428847213,1285.147088480088,0.020833333333333332,42,50.47578148047129,49.526912212371826,77.98190116882324,0.4166666666666667,0.4166666666666667,0.0,0.0,77,52,0.00390625,1.0,48560.0,0,0.0,0.0,1739.3456671666668,1725.751094,2691.760472,2010.78529,3050.573371,0,0.0,0.8,1602,False,0,False,16,128,0,0,128,71,13312,57,31.04907718174894,30.37807321548462,41.6975679397583,43.43641662597656,0.0,2598,2164,1768,0,770690,3360,3360,108,3,2,0,0,15,22,38.984
20260831_b03_motivation_alphalow_agg_static@rho0.8_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,alphalow,rep1_alphalow_agg_static@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,1,2,20260723,5a72722de6e43ae3532e282578d6fd70bd02b2c15d8ae16e230142741ce21947,0.2,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"agg_static@rho0.8,agg_full@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphalow:agg_static@rho0.8:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,84.65020669903606,128,1.5121049905417132,1258.0713521307055,0.0,40,52.962393754720686,60.253766775131226,81.67319536209106,0.4166666666666667,0.4166666666666667,0.0,0.0,83,50,0.0037560096153846155,1.0,33696.0,0,0.0,0.0,1794.1838897395833,1797.010917,2772.943332,2078.940167,3129.736493,0,0.0,0.8,1602,False,0,False,16,128,0,0,128,64,13312,64,42.781212005764246,45.25899839401245,52.13578653335571,52.680020570755005,0.0,1702,2032,1900,0,781304,3360,3360,116,1,4,0,0,7,20,45.454
20260831_b03_motivation_alphalow_agg_full@rho0.8_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,alphalow,rep1_alphalow_agg_full@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,1,2,20260723,5a72722de6e43ae3532e282578d6fd70bd02b2c15d8ae16e230142741ce21947,0.2,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"agg_static@rho0.8,agg_full@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphalow:agg_full@rho0.8:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,85.45142452279106,128,1.4979270470308035,1246.2753031296286,0.010416666666666666,40,53.561788195371626,60.90679049491882,82.8658607006073,0.40625,0.40625,0.0,0.0,83,32,0.002403846153846154,1.0,32640.0,0,0.0,5.0,1858.27847209375,1772.903047,2872.600944,2067.594044,3243.828635,0,0.0,0.8,1602,False,0,False,16,128,0,0,128,41,13312,87,40.07010511654179,42.71820855140686,51.18028020858765,54.2808313369751,0.0,1834,1900,1636,0,791034,3360,3360,57,0,0,58,0,13,7,49.336
20260831_b03_motivation_alphalow_ideal_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,alphalow,rep1_alphalow_ideal_b03alpha,read_only_counterfactual_logging,64,104,1,2,20260723,5a72722de6e43ae3532e282578d6fd70bd02b2c15d8ae16e230142741ce21947,0.2,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"agg_static@rho0.8,agg_full@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphalow:ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,80.31021463312209,128,1.5938196726871823,1326.0579676757357,0.34375,40,10.768068426847458,7.766477823257446,28.73422932624817,0.0,0.0,0.0,0.0,83,83,0.0,1.0,89568.0,0,0.0,10.333333333333334,1670.1568810520832,1786.372333,2587.42776,2100.909419,3157.938496,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_alphamed_ideal_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,alphamed,rep0_alphamed_ideal_b03alpha,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphamed:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,80.36526200803928,128,1.5927279623277482,1325.1496646566866,0.3333333333333333,41,9.453440328923667,7.703289270401001,22.326170444488525,0.0,0.0,0.0,0.0,74,74,0.0,1.0,93680.0,0,0.0,41.333333333333336,1618.6922416979166,1721.526433,2676.369081,2075.548648,3250.256445,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_alphamed_agg_full@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,alphamed,rep0_alphamed_agg_full@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphamed:agg_full@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,86.80671883118339,128,1.4745402397817489,1226.817479498415,0.16666666666666666,41,40.14417825675592,30.702330112457275,72.62607312202454,0.21875,0.21875,0.010416666666666666,0.0,74,57,0.004281850961538462,1.0,62384.0,0,0.0,19.666666666666668,1907.7320833333333,1838.442235,3602.457692,2140.257541,4284.708934,0,0.0,0.8,1656,False,0,False,16,128,0,0,128,92,13312,36,15.847430052964583,17.336521863937378,25.170567274093628,27.71757221221924,0.0,0,2328,2652,0,804976,3528,3528,123,0,1,4,0,0,2,24.432
20260831_b03_motivation_alphamed_agg_static@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,alphamed,rep0_alphamed_agg_static@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphamed:agg_static@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,92.19644375401549,128,1.388339883710809,1155.098783247393,0.03125,41,54.618540130010466,57.689544677734375,84.52166366577148,0.375,0.375,0.0,0.0,74,60,0.004507211538461538,1.0,35728.0,0,0.0,0.0,1913.3970009583334,1839.223825,2980.178209,2145.732367,3372.939656,0,0.0,0.8,1656,False,0,False,16,128,0,0,128,86,13312,42,26.599318803742875,25.55845284461975,35.73573970794678,38.00618767738342,0.0,2652,2362,1834,0,817702,3528,3528,113,2,6,0,0,7,22,32.421
20260831_b03_motivation_alphamed_agg_full@rho0.8_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,alphamed,rep1_alphamed_agg_full@rho0.8_b03alpha,read_only_counterfactual_logging,64,104,1,2,20260723,85f9d953a8bee2bf71f43bb1b1d56ca6c6b814bdfad609b4a3c15261fa0b706d,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"agg_full@rho0.8,agg_static@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03alpha:alphamed:agg_full@rho0.8:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,91.56635243981145,128,1.3978934028647387,1163.0473111834626,0.13541666666666666,47,42.541331108580245,35.54490375518799,80.38680362701416,0.34375,0.34375,0.010416666666666666,0.0,75,52,0.00390625,1.0,65504.0,0,0.0,15.333333333333334,1908.18119790625,1838.052785,2914.135378,2136.92937,3575.97588,0,0.0,0.8,1656,False,0,False,16,128,0,0,128,79,13312,49,17.31245071676713,18.20138692855835,24.4227192401886,25.618260145187378,0.0,1768,1636,1508,0,829460,3528,3528,101,1,2,4,0,20,7,18.63
