experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,point_id,cell_tag,instrumentation,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,overlap,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_superseded,relay_drop_replica_cap,relay_drop_low_utility,relay_drop_backlog_cap,relay_drop_global_topk,relay_max_queue,relay_ewma_dq_s
20260831_b03_motivation_conc2_ideal_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,conc2,rep0_conc2_ideal_b03conc,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,2,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc2:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,175.28141347598284,128,0.7302542663346255,607.5715495904085,0.2916666666666667,43,21.942048300144283,18.79098677635193,51.14089584350586,0.0,0.0,0.0,0.0,74,74,0.0,1.0,97808.0,0,0.0,41.333333333333336,2031.5946459375,2248.658104,3738.911843,2615.242163,4541.753395,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_conc2_agg_full@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,conc2,rep0_conc2_agg_full@rho0.8_b03conc,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,2,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc2:agg_full@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,212.07274639396928,128,0.6035664750727251,502.16730726050724,0.08333333333333333,43,121.09484908747119,128.8190987110138,204.2700719833374,0.3333333333333333,0.3333333333333333,0.020833333333333332,0.0,74,27,0.0020282451923076925,1.0,51616.0,0,0.0,25.0,2442.24176853125,2498.305176,3804.137192,2883.91209,4308.73486,0,0.0,0.8,759,False,0,False,16,128,0,0,128,50,13312,78,21.31526113510132,24.755470752716064,40.21999955177307,44.22016191482544,0.0,0,0,0,0,1221992,6342,6258,50,0,0,78,0,0,1,35.978
20260831_b03_motivation_conc2_agg_static@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,conc2,rep0_conc2_agg_static@rho0.8_b03conc,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,2,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc2:agg_static@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,198.346761866007,128,0.6453344576730237,536.9182687839557,0.14583333333333334,43,97.93835795757383,83.33857464790344,171.72955775260925,0.2604166666666667,0.2604166666666667,0.020833333333333332,0.0,74,61,0.004582331730769231,1.0,57200.0,0,0.0,25.0,2298.7827969270834,2369.123269,3561.307724,2746.627269,4045.460357,0,0.0,0.8,759,False,0,False,16,128,0,0,128,96,13312,32,41.787653336922325,45.89406609535217,73.8667733669281,76.79205799102783,0.0,0,0,3240,0,1234716,6426,6342,126,0,2,0,0,0,1,63.787
20260831_b03_motivation_conc2_agg_static@rho0.8_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,conc2,rep1_conc2_agg_static@rho0.8_b03conc,read_only_counterfactual_logging,64,104,1,2,20260723,85f9d953a8bee2bf71f43bb1b1d56ca6c6b814bdfad609b4a3c15261fa0b706d,0.55,64,3,128,64,128,32,2,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"agg_static@rho0.8,agg_full@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc2:agg_static@rho0.8:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,215.66224595811218,128,0.5935206666857271,493.80919468252495,0.07291666666666667,48,118.12355845669906,99.81475925445557,201.8338267803192,0.40625,0.40625,0.0,0.0,75,46,0.003455528846153846,1.0,57328.0,0,0.0,5.0,2467.88050878125,2440.019019,4398.479162,2843.294263,4909.979863,0,0.0,0.8,759,False,0,False,16,128,0,0,128,64,13312,64,59.10640484839678,56.477935552597046,80.47143769264221,82.40426731109619,0.0,2084,2296,1834,0,1245702,6510,6426,104,3,2,0,0,19,21,75.431
20260831_b03_motivation_conc2_agg_full@rho0.8_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,conc2,rep1_conc2_agg_full@rho0.8_b03conc,read_only_counterfactual_logging,64,104,1,2,20260723,85f9d953a8bee2bf71f43bb1b1d56ca6c6b814bdfad609b4a3c15261fa0b706d,0.55,64,3,128,64,128,32,2,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"agg_static@rho0.8,agg_full@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc2:agg_full@rho0.8:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,214.3682977471035,128,0.5971032160315296,496.78987573823264,0.010416666666666666,48,133.55644083519778,152.39398550987244,205.5190291404724,0.4791666666666667,0.4791666666666667,0.0,0.0,75,20,0.0015024038461538462,1.0,54752.0,0,0.0,0.0,2515.4080147916666,2518.04687,4836.224988,2896.395885,5363.57683,0,0.0,0.8,759,False,0,False,16,128,0,0,128,24,13312,104,48.91839505235354,47.79869794845581,68.83587574958801,68.835932970047,0.0,1834,0,0,0,1253172,6594,6510,24,1,1,79,0,23,7,40.889
20260831_b03_motivation_conc2_ideal_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,conc2,rep1_conc2_ideal_b03conc,read_only_counterfactual_logging,64,104,1,2,20260723,85f9d953a8bee2bf71f43bb1b1d56ca6c6b814bdfad609b4a3c15261fa0b706d,0.55,64,3,128,64,128,32,2,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"agg_static@rho0.8,agg_full@rho0.8,ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc2:ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,177.9027211589273,128,0.7194943346912198,598.6192864630949,0.3958333333333333,48,18.95397201180458,14.324105262756348,60.2969172000885,0.0,0.0,0.0,0.0,75,75,0.0,1.0,111200.0,0,0.0,51.333333333333336,1990.32329615625,2170.07349,3744.673323,2625.473192,4485.659875,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_conc4_ideal_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,conc4,rep0_conc4_ideal_b03conc,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc4:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,110.63998549594544,128,1.1569054300417523,962.5453177947379,0.3333333333333333,41,13.043976545333862,10.622691869735718,30.894527196884155,0.0,0.0,0.0,0.0,74,74,0.0,1.0,93680.0,0,0.0,41.333333333333336,2213.7412633125,2295.248001,3904.656397,2757.874048,4766.849437,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_conc4_agg_full@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,conc4,rep0_conc4_agg_full@rho0.8_b03conc,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc4:agg_full@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,117.34760672785342,128,1.090776399870268,907.5259646920631,0.10416666666666667,41,65.54951167688137,75.66657495498657,110.4768807888031,0.2916666666666667,0.2916666666666667,0.010416666666666666,0.0,74,52,0.00390625,1.0,57312.0,0,0.0,19.666666666666668,2518.0069806875,2429.441862,4624.760295,2827.931048,5369.43904,0,0.0,0.8,1203,False,0,False,16,128,0,0,128,84,13312,44,20.95337026743662,21.66659450531006,37.66559171676636,45.53995418548584,0.0,0,2600,782,0,1265046,7308,7308,90,0,0,38,0,0,2,18.118
20260831_b03_motivation_conc4_agg_static@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,conc4,rep0_conc4_agg_static@rho0.8_b03conc,read_only_counterfactual_logging,64,104,0,2,20260723,5dcc10a297249bfb229a67bce6720552b89dd5dfa324ae8e17c39dfa8d6ba5ff,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"ideal,agg_full@rho0.8,agg_static@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc4:agg_static@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,122.88562206993811,128,1.041619009969703,866.6270162947927,0.11458333333333333,41,72.49647612106509,79.39340448379517,114.29425072669983,0.3125,0.3125,0.020833333333333332,0.0,74,51,0.0038311298076923075,1.0,52160.0,0,0.0,9.833333333333334,2511.39786096875,2408.511198,3879.614487,2763.251564,4637.064322,0,0.0,0.8,1203,False,0,False,16,128,0,0,128,78,13312,50,30.818783561388653,31.11342740058899,47.25080323219299,49.27340531349182,0.0,716,1900,1768,0,1275180,7308,7308,124,1,3,0,0,0,11,46.316
20260831_b03_motivation_conc4_ideal_rep1,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,fe4ca2ca29a68c833d4d837d15e4f63fe6ece252,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,conc4,rep1_conc4_ideal_b03conc,read_only_counterfactual_logging,64,104,1,2,20260723,85f9d953a8bee2bf71f43bb1b1d56ca6c6b814bdfad609b4a3c15261fa0b706d,0.55,64,3,128,64,128,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,agg_static@rho0.8,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03conc:conc4:ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,96,0.0,0,0,118.6643403491471,128,1.078672831478981,897.4557957905123,0.375,47,11.526395133201111,7.79420804977417,34.26320171356201,0.0,0.0,0.0,0.0,75,75,0.0,1.0,109232.0,0,0.0,56.166666666666664,2533.7256986041666,2398.455569,5072.918494,2808.613794,6262.798976,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
