experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,point_id,cell_tag,instrumentation,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,overlap,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_superseded,relay_drop_replica_cap,relay_drop_low_utility,relay_drop_backlog_cap,relay_drop_global_topk,relay_max_queue,relay_ewma_dq_s
20260831_b03_motivation_base_ideal_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,base,rep0_base_ideal_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,77.35261259693652,192,2.482139821190784,2065.140331230732,0.4,88,6.641307123682716,4.374692678451538,21.399877071380615,0.0,0.0,0.0,0.0,90,90,0.0,1.0,207824.0,0,0.0,92.8,697.65873079375,756.075576,1469.121122,907.214814,1718.049913,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260831_b03_motivation_base_exact_fifo@rho1.0_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho1.0,exact_fifo,base,rep0_base_exact_fifo@rho1.0_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,1,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:exact_fifo@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,63.439745591022074,192,3.026493851942112,2518.042884815837,0.125,88,35.92839528755708,36.120017528533936,60.83012914657593,0.375,0.375,0.0125,0.0,90,41,0.0020532852564102565,1.0,132832.0,0,0.0,8.9,809.65413523125,850.589228,1417.234956,985.221166,1663.396728,0,0.0,1.0,2065,False,0,False,0,192,0,0,192,92,19968,100,20.555561205615167,21.16180419921875,36.642988443374634,37.94335412979126,0.0,0,3404,3048,0,40369900,601650,601650,192,0,0,0,0,0,2,34.052
20260831_b03_motivation_base_agg_full@rho1.2_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho1.2,agg_full,base,rep0_base_agg_full@rho1.2_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,2,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:agg_full@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,70.05052522895858,192,2.740878806724893,2280.411167195111,0.05625,88,35.34661127491431,30.001646757125854,67.98821115493774,0.475,0.475,0.0,0.0,90,32,0.0016025641025641025,1.0,102496.0,0,0.0,3.0,931.0666759125,915.42852,1654.332564,1064.345867,1895.527213,0,0.0,1.2,1720,False,0,False,16,192,0,0,192,44,19968,148,17.28306839140979,19.584440231323242,29.532515287399292,31.009395122528076,0.0,3048,2350,2560,0,40378032,601650,601650,95,2,10,8,0,77,7,27.229
20260831_b03_motivation_base_exact_fifo@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho0.8,exact_fifo,base,rep0_base_exact_fifo@rho0.8_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,3,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:exact_fifo@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,70.12147396523505,192,2.7381055922354127,2278.103852739863,0.05,88,40.66371726989746,38.601272106170654,67.77381300926208,0.5,0.5,0.00625,0.0,90,39,0.001953125,1.0,105472.0,0,0.0,3.0,896.0515606499999,923.735132,1689.534108,1070.124518,1879.455314,0,0.0,0.8,2581,False,0,False,0,192,0,0,192,79,19968,113,43.74782554710968,46.79141592979431,56.80645418167114,56.807714223861694,0.0,2560,1702,1570,0,40393184,601650,601650,192,0,0,0,0,0,44,55.635
20260831_b03_motivation_base_exact_fifo@rho1.2_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho1.2,exact_fifo,base,rep0_base_exact_fifo@rho1.2_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,4,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:exact_fifo@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,73.98822638113052,192,2.595007467957989,2159.046213341047,0.0125,88,43.18951562047005,42.13354992866516,70.98690295219421,0.53125,0.53125,0.0,0.0,90,18,0.0009014423076923077,1.0,92192.0,0,0.0,0.0,955.40499561875,974.090599,1701.597636,1127.230428,1894.580912,0,0.0,1.2,1720,False,0,False,0,192,0,0,192,25,19968,167,42.25456343650818,47.43819856643677,53.99517321586609,53.995200872421265,0.0,1636,3140,2942,0,40401722,601650,601650,192,0,0,0,0,0,48,50.727
20260831_b03_motivation_base_agg_full@rho1.0_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho1.0,agg_full,base,rep0_base_agg_full@rho1.0_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,5,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:agg_full@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,75.38610425498337,192,2.546888473644769,2119.0112100724477,0.0,88,45.06400995091958,43.77180480957031,72.85730290412903,0.55,0.55,0.0,0.0,90,14,0.0007011217948717949,1.0,101440.0,0,0.0,0.0,970.66816964375,1027.478243,1796.110912,1188.510841,2000.411714,0,0.0,1.0,2065,False,0,False,16,192,0,0,192,18,19968,174,38.48969076739417,38.5109224319458,45.764556884765625,45.76487708091736,0.0,2942,3946,3140,0,40412306,601650,601650,89,1,12,39,0,51,7,41.881
20260831_b03_motivation_base_agg_static@rho1.2_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho1.2,agg_static,base,rep0_base_agg_static@rho1.2_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,6,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:agg_static@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,76.46071160119027,192,2.511093553529145,2089.2298365362485,0.0,88,45.66140245849436,44.08856248855591,73.97442889213562,0.55,0.55,0.0,0.0,90,7,0.00035056089743589744,1.0,101440.0,0,0.0,0.0,960.56603315625,1004.355322,1726.536231,1164.468586,1918.535546,0,0.0,1.2,1720,False,0,False,16,192,0,0,192,10,19968,182,51.05088670253754,50.479692697525024,55.71541094779968,55.71541094779968,0.0,3140,4182,4446,0,40421068,601650,601650,126,9,23,0,0,34,26,43.454
20260831_b03_motivation_base_agg_static@rho0.8_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,base,rep0_base_agg_static@rho0.8_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,7,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:agg_static@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,79.20018570730463,192,2.4242367399182987,2016.9649676120246,0.0,88,46.54755438728766,44.653735399246216,76.47712135314941,0.55,0.55,0.0,0.0,90,16,0.0008012820512820513,1.0,101440.0,0,0.0,0.0,1005.52493915,1023.799392,1862.265855,1187.997999,2073.63449,0,0.0,0.8,2581,False,0,False,16,192,0,0,192,25,19968,167,50.833570108413696,50.062002658843994,58.97359848022461,61.09320425987244,0.0,4446,4710,4314,0,40434412,601650,601650,129,8,23,0,0,32,26,50.883
20260831_b03_motivation_base_agg_static@rho1.0_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho1.0,agg_static,base,rep0_base_agg_static@rho1.0_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,8,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:agg_static@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,80.40116549190134,192,2.3880250842799016,1986.836870120878,0.0,88,47.12772891196337,45.438936948776245,77.55256533622742,0.55,0.55,0.0,0.0,90,7,0.00035056089743589744,1.0,101440.0,0,0.0,0.0,1023.173125925,1053.897618,1847.85998,1233.824876,2067.388716,0,0.0,1.0,2065,False,0,False,16,192,0,0,192,10,19968,182,55.75332019329071,54.94758653640747,60.72369146347046,60.72369146347046,0.0,4116,3820,4380,0,40445616,601650,601650,126,9,23,0,0,34,26,47.566
20260831_b03_motivation_base_agg_full@rho0.5_rep0,b03_motivation,hybrid_live_vllm_real_kernel_link_counterfactual_instrumented,aabc816c8250cb051031cae0e799a1406845b142,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.5,agg_full,base,rep0_base_agg_full@rho0.5_b03v2,read_only_counterfactual_logging,64,104,0,5,20260723,7b57b970c55fbde1df0a9602d284ed92017a8951c4e4ac46da603a5d2f2a4d0d,0.55,64,3,128,96,192,32,4,0.0,4,104544,200,60.0,8,4,0.5,50.0,2.0,9,"ideal,exact_fifo@rho1.0,agg_full@rho1.2,exact_fifo@rho0.8,exact_fifo@rho1.2,agg_full@rho1.0,agg_static@rho1.2,agg_static@rho0.8,agg_static@rho1.0,agg_full@rho0.5,agg_static@rho0.5,exact_fifo@rho0.5,agg_full@rho0.8",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,b03:b03v2:base:agg_full@rho0.5:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,160,0.0,0,0,83.46795452386141,192,2.300283996358291,1913.836284970098,0.00625,88,48.24541828849099,46.39526009559631,80.84685373306274,0.5375,0.5375,0.00625,0.0,90,41,0.0020532852564102565,1.0,95760.0,0,0.0,2.9,1066.0225235875,1081.808139,1952.009548,1254.605445,2172.191366,0,0.0,0.5,4130,False,0,False,16,192,0,0,192,64,19968,128,31.687417149543762,33.753249645233154,41.641103744506836,41.750417947769165,0.0,4380,3264,2744,0,40469012,601650,601650,80,1,9,63,0,39,7,39.378
